datetime,user,identifier,subject,dataType,encrypted,suffix,errorType,errorDetails
2025-10-06_16-51,llaplace,sub-3000005_all_eeg_s3_r1_e1,3000005,eeg,0,s3_r1,Missing files to process,"First line of deviation file is ""3000264 (Child 1; BBS1) decided not to continue after completing the alone and observe-other flanker conditions. 
"", should contain ""files to process"""
2025-10-06_16-51,llaplace,sub-3000012_all_zoom_s3_r1_e1,3000012,zoom,1,s3_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/test-donotuse-mini-dataset/sourcedata/raw/s3_r1/zoom/sub-3000012/, folder exists but no identifier or sub-3000012_all_zoom_s3_r1_e1_no-data.txt was found)"
2025-10-06_16-51,llaplace,sub-3000112_all_audacity_s2_r1_e1,3000112,audacity,1,s2_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/test-donotuse-mini-dataset/sourcedata/raw/s2_r1/audacity/sub-3000112/, folder exists but no identifier or sub-3000112_all_audacity_s2_r1_e1_no-data.txt was found)"
2025-10-06_16-51,llaplace,sub-3000114_all_digi_s2_r1_e1,3000114,digi,1,s2_r1,Naming error,File extension .tar.gpg doesn't match expected extensions .zip.gpg in file sub-3000114_all_digi_s2_r1_e1.tar.gpg
2025-10-06_16-51,llaplace,sub-3000114_all_digi_s2_r1_e1,3000114,digi,1,s2_r1,Missing file,Expected file sub-3000114_all_digi_s2_r1_e1.zip.gpg not found
2025-10-06_16-51,llaplace,sub-3000114_all_digi_s2_r1_e1,3000114,digi,1,s2_r1,Unexpected file,Unexpected file sub-3000114_all_digi_s2_r1_e1.tar.gpg found
2025-10-06_16-51,llaplace,sub-3000118_all_digi_s2_r1_e1,3000118,digi,1,s2_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/test-donotuse-mini-dataset/sourcedata/raw/s2_r1/digi/sub-3000118/, folder exists but no identifier or sub-3000118_all_digi_s2_r1_e1_no-data.txt was found)"
2025-10-06_16-51,llaplace,sub-3000123_all_digi_s2_r1_e1,3000123,digi,1,s2_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/test-donotuse-mini-dataset/sourcedata/raw/s2_r1/digi/sub-3000123/, folder exists but no identifier or sub-3000123_all_digi_s2_r1_e1_no-data.txt was found)"
2025-10-06_16-51,llaplace,sub-3000126_all_digi_s2_r1_e1,3000126,digi,1,s2_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/test-donotuse-mini-dataset/sourcedata/raw/s2_r1/digi/sub-3000126/, folder exists but no identifier or sub-3000126_all_digi_s2_r1_e1_no-data.txt was found)"
2025-10-06_16-51,llaplace,sub-3000126_all_zoom_s2_r1_e1,3000126,zoom,1,s2_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/test-donotuse-mini-dataset/sourcedata/raw/s2_r1/zoom/sub-3000126/, folder exists but no identifier or sub-3000126_all_zoom_s2_r1_e1_no-data.txt was found)"
2025-10-06_16-51,llaplace,sub-3000127_all_digi_s2_r1_e1,3000127,digi,1,s2_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/test-donotuse-mini-dataset/sourcedata/raw/s2_r1/digi/sub-3000127/, folder exists but no identifier or sub-3000127_all_digi_s2_r1_e1_no-data.txt was found)"
2025-10-06_16-51,llaplace,sub-3000242_all_zoom_s1_r1_e1,3000242,zoom,1,s1_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/test-donotuse-mini-dataset/sourcedata/raw/s1_r1/zoom/sub-3000242/, folder exists but no identifier or sub-3000242_all_zoom_s1_r1_e1_no-data.txt was found)"
2025-10-06_16-51,llaplace,sub-3000256_all_audacity_s1_r1_e1,3000256,audacity,1,s1_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/test-donotuse-mini-dataset/sourcedata/raw/s1_r1/audacity/sub-3000256/, folder exists but no identifier or sub-3000256_all_audacity_s1_r1_e1_no-data.txt was found)"
2025-10-06_16-51,llaplace,sub-3000261_all_eeg_s1_r1_e1,3000261,eeg,0,s1_r1,Missing files to process,"First line of deviation file is ""At the end of the session, once the participants were done with the speech tasks, the EEG laptop displayed an error  message stating that it was waiting for USB signal. Upon checking, the USB was connected, and the computer's fan was audibly working as if the computer was doing heavy work. Although this was at the end and all data should be okay, it is still worthy to note. "", should contain ""files to process"""
2025-10-06_16-51,llaplace,sub-3000266_all_audacity_s1_r1_e1,3000266,audacity,1,s1_r1,Missing identifier,"Missing identifier (should be at /home/data/NDClab/datasets/test-donotuse-mini-dataset/sourcedata/raw/s1_r1/audacity/sub-3000266/, folder exists but no identifier or sub-3000266_all_audacity_s1_r1_e1_no-data.txt was found)"
